,ha,hb,hab,pa,pb,pab_c,pab_d,irr_conj,irr_disj
2373,-0.5,-0.19999999999999996,-1.0,0.9999999999999998,0.7938926261462367,0.010511314492036013,0.3435767762932999,-0.7833813116542007,0.6564232237066998
2374,-0.5,-0.19999999999999996,-0.9,0.9999999999999998,0.7938926261462367,0.028411217052989376,0.12032018588431734,-0.7654814090932474,0.8796798141156824
2375,-0.5,-0.19999999999999996,-0.8,0.9999999999999998,0.7938926261462367,0.1825314462337739,0.006735772249725285,-0.6113611799124627,0.9932642277502745
2376,-0.5,-0.19999999999999996,-0.7,0.9999999999999998,0.7938926261462367,0.4283538889427527,0.03563275062693823,-0.36553873720348395,0.9643672493730615
2377,-0.5,-0.19999999999999996,-0.6,0.9999999999999998,0.7938926261462367,0.6948714701916927,0.19866408041237166,-0.09902115595454397,0.8013359195876282
2378,-0.5,-0.19999999999999996,-0.5,0.9999999999999998,0.7938926261462367,0.9050997481197381,0.44873764906864877,0.11120712197350147,0.551262350931351
2379,-0.5,-0.19999999999999996,-0.3999999999999999,0.9999999999999998,0.7938926261462367,0.9983132116827412,0.7136184953566602,0.20442058553650455,0.28638150464333956
2380,-0.5,-0.19999999999999996,-0.29999999999999993,0.9999999999999998,0.7938926261462367,0.9475868406207979,0.9167947547029871,0.15369421447456122,0.08320524529701268
2381,-0.5,-0.19999999999999996,-0.19999999999999996,0.9999999999999998,0.7938926261462367,0.7675731230165596,0.999578124942121,-0.026319503129677124,0.00042187505787882884
2382,-0.5,-0.19999999999999996,-0.09999999999999998,0.9999999999999998,0.7938926261462367,0.5102697986577039,0.9380562529563299,-0.28362282748853274,0.061943747043669894
2383,-0.5,-0.19999999999999996,0.0,0.9999999999999998,0.7938926261462367,0.25,0.75,-0.5438926261462367,0.24999999999999978
2384,-0.5,-0.19999999999999996,0.10000000000000009,0.9999999999999998,0.7938926261462367,0.06194374704367034,0.48973020134229606,-0.7319488791025663,0.5102697986577037
2385,-0.5,-0.19999999999999996,0.20000000000000018,0.9999999999999998,0.7938926261462367,0.0004218750578790972,0.23242687698344033,-0.7934707510883576,0.7675731230165594
2386,-0.5,-0.19999999999999996,0.30000000000000004,0.9999999999999998,0.7938926261462367,0.08320524529701309,0.052413159379202635,-0.7106873808492236,0.9475868406207971
2387,-0.5,-0.19999999999999996,0.40000000000000013,0.9999999999999998,0.7938926261462367,0.2863815046433399,0.0016867883172585615,-0.5075111215028968,0.9983132116827412
2388,-0.5,-0.19999999999999996,0.5,0.9999999999999998,0.7938926261462367,0.5512623509313511,0.0949002518802621,-0.24263027521488556,0.9050997481197377
2389,-0.5,-0.19999999999999996,0.6000000000000001,0.9999999999999998,0.7938926261462367,0.8013359195876286,0.30512852980830774,0.0074432934413919405,0.694871470191692
2390,-0.5,-0.19999999999999996,0.7000000000000002,0.9999999999999998,0.7938926261462367,0.9643672493730618,0.571646111057247,0.17047462322682516,0.4283538889427527
2391,-0.5,-0.19999999999999996,0.8,0.9999999999999998,0.7938926261462367,0.9932642277502748,0.8174685537662261,0.1993716016040381,0.1825314462337737
2392,-0.5,-0.19999999999999996,0.9000000000000001,0.9999999999999998,0.7938926261462367,0.8796798141156824,0.9715887829470102,0.08578718796944573,0.028411217052989546
2393,-0.5,-0.19999999999999996,1.0,0.9999999999999998,0.7938926261462367,0.6564232237067,0.9894886855079641,-0.13746940243953665,0.010511314492035684
2394,-0.5,-0.09999999999999998,-1.0,0.9999999999999998,0.6545084971874736,0.010511314492036013,0.3435767762932999,-0.6439971826954376,0.6564232237066998
2395,-0.5,-0.09999999999999998,-0.9,0.9999999999999998,0.6545084971874736,0.028411217052989376,0.12032018588431734,-0.6260972801344843,0.8796798141156824
2396,-0.5,-0.09999999999999998,-0.8,0.9999999999999998,0.6545084971874736,0.1825314462337739,0.006735772249725285,-0.4719770509536997,0.9932642277502745
2397,-0.5,-0.09999999999999998,-0.7,0.9999999999999998,0.6545084971874736,0.4283538889427527,0.03563275062693823,-0.2261546082447209,0.9643672493730615
2398,-0.5,-0.09999999999999998,-0.6,0.9999999999999998,0.6545084971874736,0.6948714701916927,0.19866408041237166,0.040362973004219094,0.8013359195876282
2399,-0.5,-0.09999999999999998,-0.5,0.9999999999999998,0.6545084971874736,0.9050997481197381,0.44873764906864877,0.25059125093226453,0.551262350931351
2400,-0.5,-0.09999999999999998,-0.3999999999999999,0.9999999999999998,0.6545084971874736,0.9983132116827412,0.7136184953566602,0.3438047144952676,0.28638150464333956
2401,-0.5,-0.09999999999999998,-0.29999999999999993,0.9999999999999998,0.6545084971874736,0.9475868406207979,0.9167947547029871,0.2930783434333243,0.08320524529701268
2402,-0.5,-0.09999999999999998,-0.19999999999999996,0.9999999999999998,0.6545084971874736,0.7675731230165596,0.999578124942121,0.11306462582908594,0.00042187505787882884
